element_id,content,type
section-onboard,1. ONBOARD,text
section-dang-don,2. ĐĂNG ĐƠN,text
section-dang-don-3,3. ĐĂNG ĐƠN,text
section-van-hanh,4. VẬN HÀNH,text
section-hub,5. HUB,text
section-kho-dich,6. KHO ĐÍCH,text
faeda640-dac4-4844-9dad-9606804fd78c,"<p>Nội dung chi tiết phần ONBOARD...</p>",html
2ceec18e-70ae-8090-98f5-ddfffa556484,Hình minh hoạ sản phẩm thuộc kênh phân phối,text
